Place,County,Population,Population Density,Per capita income,Median household income,Median family income
Chino Hills,San Bernardino,76187,1705,"$35,529 ","$97,609 ","$105,911 "
Chowchilla,Madera,18411,1653.1,"$11,856 ","$36,852 ","$38,180 "
Chualar,Monterey,1255,2004.8,"$15,542 ","$58,036 ","$57,679 "
Chula Vista,San Diego,253031,5098.2,"$25,385 ","$66,110 ","$74,703 "
Citrus,Los Angeles,11446,12904.2,"$17,422 ","$58,626 ","$61,119 "
Citrus Heights,Sacramento,84678,5951.1,"$24,915 ","$51,150 ","$59,355 "
Claremont,Los Angeles,35569,2664.3,"$39,402 ","$89,648 ","$108,739 "
Clarksburg,Yolo,406,200.1,"$35,308 ","$49,783 ","$49,130 "
Clay,Sacramento,1153,170.7,"$35,120 ","$76,184 ","$71,429 "
Clayton,Contra Costa,11328,2950,"$54,740 ","$131,136 ","$141,623 "
Clear Creek,Lassen,182,160.6,"$19,851 ","$33,021 ","$65,938 "
Clearlake,Lake,15121,1492.8,"$16,301 ","$25,532 ","$30,772 "
Clearlake Oaks,Lake,1547,782.1,"$20,844 ","$27,500 ","$38,750 "
Clearlake Riviera,Lake,2912,557.4,"$23,831 ","$43,167 ","$45,842 "
Cleone,Mendocino,679,426.2,"$31,822 ","$62,632 ","$59,853 "
Clio,Plumas,49,85.1,"$29,645 ","$75,313 ",[7]
Clipper Mills,Butte,0,0,[7],[7],[7]
Cloverdale,Sonoma,8692,2863,"$28,677 ","$59,120 ","$67,746 "
Clovis,Fresno,98815,4210.8,"$28,497 ","$63,662 ","$74,201 "
Clyde,Contra Costa,680,4788.7,"$27,403 ","$41,382 ","$93,750 "
Coachella,Riverside,42576,1470.7,"$12,321 ","$40,423 ","$40,018 "
Coalinga,Fresno,17235,2581.6,"$19,237 ","$50,373 ","$53,750 "
Coarsegold,Madera,1172,106.7,"$26,734 ","$30,216 ","$66,346 "
Cobb,Lake,1147,230.3,"$29,938 ","$71,641 ","$83,357 "
Coffee Creek,Trinity,132,11.5,"$26,230 ","$58,889 ","$92,500 "
Cohasset,Butte,808,31.9,"$21,582 ","$55,595 ","$58,520 "
Cold Springs,El Dorado,623,825.2,"$23,860 ","$49,150 ","$81,458 "
Cold Springs,Tuolumne,193,111.3,"$31,913 ","$34,963 ",[7]
Coleville,Mono,395,28.7,"$36,201 ","$45,147 ","$46,397 "
Colfax,Placer,2424,1724,"$24,810 ","$46,902 ","$48,269 "
College City,Colusa,196,59.8,"$26,042 ","$97,727 ","$97,727 "
Collierville,San Joaquin,1942,294.5,"$28,835 ","$51,595 ","$60,096 "
Colma,San Mateo,1837,964.3,"$30,256 ","$88,438 ","$95,208 "
Coloma,El Dorado,761,226.8,"$30,194 ","$65,426 ","$66,051 "
Colton,San Bernardino,53129,3467,"$16,004 ","$39,915 ","$44,608 "
Columbia,Tuolumne,2456,412,"$20,816 ","$40,313 ","$52,029 "
Colusa,Colusa,5962,3250.8,"$22,606 ","$45,959 ","$50,515 "
Commerce,Los Angeles,12975,1984.6,"$15,625 ","$45,846 ","$50,948 "
Comptche,Mendocino,77,66.7,"$47,960 ","$83,750 ",[7]
Compton,Los Angeles,97663,9754.6,"$13,847 ","$43,230 ","$45,877 "
Concord,Contra Costa,125017,4093,"$31,404 ","$67,122 ","$78,218 "
Concow,Butte,539,19.7,"$29,949 ","$34,773 ","$58,438 "
Contra Costa Centre,Contra Costa,6031,9482.7,"$57,385 ","$87,721 ","$107,547 "
Copperopolis,Calaveras,4365,210,"$31,166 ","$56,831 ","$71,477 "
Corcoran,Kings,23634,3149.5,"$7,995 ","$34,082 ","$35,048 "
Corning,Tehama,7617,2145.6,"$13,776 ","$36,906 ","$35,390 "
Corona,Riverside,157395,4052.8,"$27,577 ","$77,021 ","$82,607 "
Coronado,San Diego,24333,3068.1,"$48,476 ","$90,876 ","$112,608 "
Coronita,Riverside,3397,4951.9,"$26,292 ","$78,304 ","$77,857 "
Corralitos,Santa Cruz,2812,312.9,"$36,032 ","$84,466 ","$94,778 "
Corte Madera,Marin,9478,2996.5,"$64,762 ","$113,279 ","$141,143 "
Costa Mesa,Orange,111635,7110.5,"$33,342 ","$66,491 ","$76,781 "
Cotati,Sonoma,7347,3908,"$32,834 ","$59,808 ","$75,461 "
Coto de Caza,Orange,14647,1897,"$70,990 ","$166,328 ","$172,654 "
Cottonwood,Shasta,4178,1805.5,"$17,268 ","$42,660 ","$44,450 "
Coulterville,Mariposa,227,53.9,"$28,431 ","$45,000 ",[7]
Country Club,San Joaquin,10018,5225.9,"$20,643 ","$43,323 ","$50,168 "
Courtland,Sacramento,515,286.1,"$42,765 ","$58,472 ","$57,266 "
Covelo,Mendocino,1444,203.5,"$17,585 ","$26,389 ","$23,553 "
Covina,Los Angeles,48429,6890.9,"$25,622 ","$64,496 ","$73,113 "
Cowan,Stanislaus,510,3269.2,"$11,454 ","$37,656 ","$25,833 "
Crescent City,Del Norte,7295,3716.3,"$12,430 ","$27,885 ","$43,554 "
Crescent Mills,Plumas,426,100.4,"$15,014 ","$31,655 ","$32,230 "
Cressey,Merced,322,183.2,"$22,093 ","$53,214 ","$53,214 "
Crest,San Diego,2393,366.4,"$35,347 ","$74,115 ","$79,632 "
Crestline,San Bernardino,9437,681.9,"$24,754 ","$47,175 ","$53,552 "
Creston,San Luis Obispo,61,108.2,"$58,821 ","$83,523 ",[7]
C-Road,Plumas,213,79.9,"$23,339 ","$78,796 ","$79,583 "
Crockett,Contra Costa,3151,2972.6,"$42,310 ","$81,667 ","$89,588 "
Cromberg,Plumas,172,19,"$48,815 ","$32,188 ","$163,030 "
Crowley Lake,Mono,707,251.9,"$40,119 ","$88,500 ","$93,611 "
Crows Landing,Stanislaus,194,61.2,"$13,302 ","$29,018 ","$31,563 "
Cudahy,Los Angeles,24073,20487.7,"$11,400 ","$37,759 ","$36,289 "
Culver City,Los Angeles,39353,7699.7,"$45,792 ","$79,292 ","$99,860 "
Cupertino,Santa Clara,59787,5285.7,"$55,867 ","$134,872 ","$158,053 "
Cutler,Tulare,4224,5234.2,"$6,456 ","$18,346 ","$17,629 "
Cutten,Humboldt,3117,2408.8,"$30,467 ","$55,080 ","$71,381 "
Cuyama,Santa Barbara,72,158.9,"$10,951 ","$27,188 ","$27,917 "
Cypress,Orange,48748,7373.8,"$33,693 ","$83,819 ","$92,166 "
Daly City,San Mateo,103897,13599.1,"$28,753 ","$74,489 ","$83,096 "
Dana Point,Orange,33861,5210.2,"$51,474 ","$84,404 ","$103,457 "
Danville,Contra Costa,42891,2372.7,"$65,783 ","$140,616 ","$157,842 "
Daphnedale Park,Modoc,20,15,[7],[7],[7]
Darwin,Inyo,18,13.4,"$24,089 ",[7],[7]
Davenport,Santa Cruz,303,106.9,"$33,563 ","$67,031 ","$78,393 "
Davis,Yolo,66093,6687.5,"$33,646 ","$57,454 ","$110,692 "
Day Valley,Santa Cruz,3869,209.1,"$39,039 ","$73,393 ","$85,438 "
Deer Park,Napa,1072,192.2,"$53,298 ","$97,266 ","$122,361 "
Del Aire,Los Angeles,10406,10262.3,"$31,248 ","$79,943 ","$88,997 "
Delano,Kern,52883,3697.3,"$10,455 ","$36,244 ","$36,684 "
Delft Colony,Tulare,164,2484.8,"$2,685 ","$8,456 ","$8,456 "
Delhi,Merced,9918,2825.6,"$15,121 ","$46,224 ","$48,077 "
